Date,Open,High,Low,Close,Adj Close,Volume
2021-02-26,235.270294,238.755005,210.310760,221.680435,221.680435,4167145958
2021-02-27,221.980911,237.179428,220.099396,225.249435,225.249435,2755271254
2021-02-28,225.445938,228.173050,195.852676,209.574402,209.574402,3129699003
2021-03-01,209.951309,259.491058,209.951309,254.629929,254.629929,5008256561
2021-03-02,254.953354,264.169312,228.641647,239.522537,239.522537,5882262804
2021-03-03,239.688980,254.253632,236.908752,241.091370,241.091370,5827707431
2021-03-04,241.045486,249.465607,226.084946,229.945068,229.945068,5580339595
2021-03-05,229.835297,230.366638,216.272614,226.372559,226.372559,4969642573
2021-03-06,226.197769,232.098892,220.075073,226.666855,226.666855,4489684331
2021-03-07,226.672745,243.343124,225.546371,240.179214,240.179214,5081569247
2021-03-08,240.179581,242.688263,229.441116,240.318665,240.318665,5016770824
2021-03-09,240.395477,296.658630,236.050247,293.463226,293.463226,8676266998
2021-03-10,293.423889,295.070618,268.578491,279.358032,279.358032,4544623650
2021-03-11,278.509094,313.110138,273.377930,289.790802,289.790802,4676132222
2021-03-12,289.999115,290.034760,253.946655,263.685822,263.685822,3960814749
2021-03-13,263.592010,283.013611,256.188965,276.104706,276.104706,2903774859
2021-03-14,276.185730,276.371246,264.636749,264.636749,264.636749,2044273970
2021-03-15,264.063507,267.233734,250.612976,254.660828,254.660828,2488528410
2021-03-16,254.450439,258.876129,242.181534,258.100677,258.100677,2425543830
2021-03-17,258.385864,270.962891,249.928925,269.854858,269.854858,2271426252
2021-03-18,269.637848,277.772247,258.726410,261.704803,261.704803,2445995134
2021-03-19,261.630432,269.234711,256.273285,264.057434,264.057434,1873443830
2021-03-20,264.092194,274.873169,262.972504,264.741669,264.741669,2004752539
2021-03-21,264.956940,268.878174,257.518280,264.886169,264.886169,1718563711
2021-03-22,265.070282,276.968689,255.210861,255.900192,255.900192,2323911466
2021-03-23,255.945099,263.149292,253.011642,255.689667,255.689667,2010488139
2021-03-24,255.894302,268.620850,243.228134,249.851379,249.851379,2385752951
2021-03-25,249.465912,250.139236,227.294067,234.885437,234.885437,2314734091
2021-03-26,234.790939,255.104568,234.790939,255.104568,255.104568,2099285452
2021-03-27,255.116486,275.593384,250.494797,269.102325,269.102325,2457659540
2021-03-28,269.310730,280.992401,262.288666,269.191284,269.191284,2527142069
2021-03-29,268.969391,277.479004,265.367828,275.214630,275.214630,2067448661
2021-03-30,275.238647,311.426483,271.578552,311.426483,311.426483,4039620710
2021-03-31,311.551422,316.486542,289.009277,302.063446,302.063446,3545493416
2021-04-01,302.245483,339.209106,301.588654,335.212891,335.212891,3718677616
2021-04-02,335.085968,356.783508,329.751373,339.007721,339.007721,3950524039
2021-04-03,338.909180,349.629913,319.193787,323.133514,323.133514,2953164849
2021-04-04,323.354858,353.434204,319.849030,351.624390,351.624390,3200674446
2021-04-05,351.241058,381.029297,339.461639,367.772491,367.772491,4073047973
2021-04-06,368.099030,412.256744,364.129669,403.590759,403.590759,5277448222
2021-04-07,403.699280,414.357666,358.743805,374.658813,374.658813,5976362849
2021-04-08,376.269012,422.466583,372.515167,418.038391,418.038391,4550316562
2021-04-09,418.054718,453.697815,405.443604,453.178467,453.178467,4701175013
2021-04-10,454.343170,487.275208,451.355164,472.560333,472.560333,6160670397
2021-04-11,471.646423,529.645020,459.590424,525.385559,525.385559,5697422904
2021-04-12,526.701782,637.442322,516.279236,598.722656,598.722656,14436315725
2021-04-13,596.988586,602.296448,532.955872,549.586548,549.586548,9433830832
2021-04-14,550.401489,590.417419,526.534302,549.591858,549.591858,7452346448
2021-04-15,550.413330,556.833801,536.078430,542.632080,542.632080,4608061831
2021-04-16,542.573669,548.885010,493.009491,510.220184,510.220184,6886285728
2021-04-17,509.581299,548.602356,509.048553,520.416748,520.416748,5195399091
2021-04-18,520.590271,526.058777,429.052887,481.034241,481.034241,6711806048
2021-04-19,481.396698,539.711243,469.152161,505.092926,505.092926,7141301320
2021-04-20,503.795166,588.064819,475.590393,587.029114,587.029114,9330924061
2021-04-21,586.901184,612.687073,537.349365,546.023560,546.023560,8456300946
2021-04-22,544.005493,582.037720,481.260223,506.013000,506.013000,8342960849
2021-04-23,505.858887,530.074951,452.435516,526.565247,526.565247,8893557870
2021-04-24,526.758362,527.440918,483.959137,496.415070,496.415070,4070234640
2021-04-25,496.256836,517.083008,478.889435,505.077057,505.077057,3419309603
2021-04-26,504.748749,549.966736,502.311462,534.577698,534.577698,4072866875
2021-04-27,535.428467,578.623474,525.767761,568.470520,568.470520,4050720272
2021-04-28,568.745667,578.888123,539.072510,562.632568,562.632568,3648784689
2021-04-29,562.873596,614.824158,554.284668,599.706543,599.706543,6585918998
2021-04-30,599.988464,627.777466,586.205811,624.080566,624.080566,5741358048
2021-05-01,622.469299,641.860840,611.302002,619.347229,619.347229,4065705136
2021-05-02,619.972107,628.620972,595.858765,622.101013,622.101013,3765184551
2021-05-03,621.902710,679.815002,621.902710,675.684082,675.684082,5274868721
2021-05-04,676.315918,676.916870,606.267700,611.200317,611.200317,5728175230
2021-05-05,609.331055,656.237000,605.166199,651.662720,651.662720,4248449283
2021-05-06,651.049500,653.412842,621.066101,633.280396,633.280396,3975000211
2021-05-07,634.006897,644.124512,612.162476,624.563293,624.563293,3658116306
2021-05-08,624.394409,657.544617,618.840698,646.100830,646.100830,3910931715
2021-05-09,646.312134,678.228394,631.465271,662.228577,662.228577,4321052943
2021-05-10,661.450012,690.931946,596.165894,631.351990,631.351990,5157435389
2021-05-11,631.240601,672.459412,623.249817,672.333923,672.333923,4865455319
2021-05-12,671.778870,684.137695,588.185181,588.185181,588.185181,4311561442
2021-05-13,592.954590,632.970703,530.238220,571.434509,571.434509,7417114170
2021-05-14,570.960510,614.485413,567.034729,603.128296,603.128296,3735474448
2021-05-15,602.554382,610.514160,561.168396,563.041687,563.041687,3480395174
2021-05-16,562.648926,606.003418,535.057373,562.829834,562.829834,4047395255
2021-05-17,564.445557,564.445557,485.997070,511.964386,511.964386,5123430659
2021-05-18,511.391998,534.177856,496.978546,508.022308,508.022308,3548216902
2021-05-19,508.862732,515.716553,283.453705,339.025482,339.025482,8779943654
2021-05-20,335.556732,424.294250,286.089447,393.612762,393.612762,7093839295
2021-05-21,391.541565,415.706726,275.392670,326.296326,326.296326,6291181865
2021-05-22,326.797791,335.734741,285.353424,299.504089,299.504089,3871242832
2021-05-23,300.035431,313.525146,213.516464,262.945679,262.945679,5336233746
2021-05-24,261.119537,350.273102,258.622711,345.309631,345.309631,6066277282
2021-05-25,345.489838,374.597198,307.729462,344.113983,344.113983,5656677341
2021-05-26,343.531982,387.765198,337.056976,379.854309,379.854309,4502557689
2021-05-27,379.693481,387.490082,340.890839,367.655792,367.655792,3965850350
